/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 17000: tokens=805148640/1000000000 (80.5%), loss=0.0881, FVU=0.0274, dead_frac=0.009, throughput=34108 tok/s, ETA=1.6h
step 17100: tokens=809723064/1000000000 (81.0%), loss=0.0956, FVU=0.0288, dead_frac=0.009, throughput=34109 tok/s, ETA=1.5h
step 17200: tokens=814280256/1000000000 (81.4%), loss=0.0858, FVU=0.0268, dead_frac=0.010, throughput=34111 tok/s, ETA=1.5h
step 17300: tokens=818947992/1000000000 (81.9%), loss=0.0989, FVU=0.0304, dead_frac=0.010, throughput=34113 tok/s, ETA=1.5h
step 17400: tokens=823607544/1000000000 (82.4%), loss=0.0983, FVU=0.0305, dead_frac=0.010, throughput=34115 tok/s, ETA=1.4h
step 17500: tokens=828221640/1000000000 (82.8%), loss=0.0947, FVU=0.0280, dead_frac=0.010, throughput=34117 tok/s, ETA=1.4h
step 17600: tokens=832916160/1000000000 (83.3%), loss=0.1034, FVU=0.0324, dead_frac=0.010, throughput=34119 tok/s, ETA=1.4h
step 17700: tokens=837681288/1000000000 (83.8%), loss=0.0938, FVU=0.0297, dead_frac=0.010, throughput=34121 tok/s, ETA=1.3h
step 17800: tokens=842458224/1000000000 (84.2%), loss=0.1056, FVU=0.0338, dead_frac=0.009, throughput=34125 tok/s, ETA=1.3h
step 17900: tokens=847205400/1000000000 (84.7%), loss=0.1041, FVU=0.0325, dead_frac=0.009, throughput=34127 tok/s, ETA=1.2h
step 18000: tokens=851970336/1000000000 (85.2%), loss=0.1028, FVU=0.0324, dead_frac=0.009, throughput=34130 tok/s, ETA=1.2h
step 18100: tokens=856722984/1000000000 (85.7%), loss=0.0995, FVU=0.0321, dead_frac=0.009, throughput=34130 tok/s, ETA=1.2h
step 18200: tokens=861448488/1000000000 (86.1%), loss=0.0864, FVU=0.0254, dead_frac=0.009, throughput=34133 tok/s, ETA=1.1h
